x-axis,1,2,3
second,Volt,Volt,Volt
-38.700E-03,+1.350000E+00,+1.062500E+00,+1.193250E+00
-38.600E-03,+1.568750E+00,+1.250000E+00,+1.380750E+00
-38.500E-03,+1.693750E+00,+1.437500E+00,+1.599500E+00
-38.400E-03,+1.850000E+00,+1.625000E+00,+1.787000E+00
-38.300E-03,+2.006250E+00,+1.781250E+00,+1.974500E+00
-38.200E-03,+2.131250E+00,+1.968750E+00,+2.099500E+00
-38.100E-03,+2.225000E+00,+2.125000E+00,+2.255750E+00
-38.000E-03,+2.287500E+00,+2.250000E+00,+2.380750E+00
-37.900E-03,+2.318750E+00,+2.375000E+00,+2.443250E+00
-37.800E-03,+2.318750E+00,+2.406250E+00,+2.505750E+00
-37.700E-03,+2.318750E+00,+2.437500E+00,+2.474500E+00
-37.600E-03,+2.225000E+00,+2.406250E+00,+2.443250E+00
-37.500E-03,+2.131250E+00,+2.406250E+00,+2.380750E+00
-37.400E-03,+2.068750E+00,+2.343750E+00,+2.318250E+00
-37.300E-03,+1.850000E+00,+2.218750E+00,+2.162000E+00
-37.200E-03,+1.662500E+00,+2.062500E+00,+1.974500E+00
-37.100E-03,+1.537500E+00,+1.843750E+00,+1.755750E+00
-37.000E-03,+1.318750E+00,+1.656250E+00,+1.568250E+00
-36.900E-03,+1.100000E+00,+1.437500E+00,+1.349500E+00
-36.800E-03,+943.750E-03,+1.250000E+00,+1.162000E+00
-36.700E-03,+787.500E-03,+1.031250E+00,+943.250E-03
-36.600E-03,+693.750E-03,+875.000E-03,+755.750E-03
-36.500E-03,+568.750E-03,+687.500E-03,+630.750E-03
-36.400E-03,+506.250E-03,+562.500E-03,+505.750E-03
-36.300E-03,+475.000E-03,+468.750E-03,+412.000E-03
-36.200E-03,+475.000E-03,+437.500E-03,+412.000E-03
-36.100E-03,+568.750E-03,+406.250E-03,+412.000E-03
-36.000E-03,+662.500E-03,+437.500E-03,+474.500E-03
-35.900E-03,+818.750E-03,+531.250E-03,+630.750E-03
-35.800E-03,+912.500E-03,+625.000E-03,+755.750E-03
-35.700E-03,+1.131250E+00,+812.500E-03,+880.750E-03
-35.600E-03,+1.350000E+00,+968.750E-03,+1.130750E+00
-35.500E-03,+1.600000E+00,+1.156250E+00,+1.380750E+00
-35.400E-03,+1.725000E+00,+1.437500E+00,+1.599500E+00
-35.300E-03,+1.943750E+00,+1.656250E+00,+1.818250E+00
-35.200E-03,+2.068750E+00,+1.875000E+00,+2.037000E+00
-35.100E-03,+2.193750E+00,+2.093750E+00,+2.193250E+00
-35.000E-03,+2.287500E+00,+2.218750E+00,+2.380750E+00
-34.900E-03,+2.318750E+00,+2.375000E+00,+2.505750E+00
-34.800E-03,+2.287500E+00,+2.437500E+00,+2.505750E+00
-34.700E-03,+2.225000E+00,+2.500000E+00,+2.537000E+00
-34.600E-03,+2.100000E+00,+2.500000E+00,+2.474500E+00
-34.500E-03,+2.037500E+00,+2.406250E+00,+2.380750E+00
-34.400E-03,+1.912500E+00,+2.281250E+00,+2.224500E+00
-34.300E-03,+1.693750E+00,+2.125000E+00,+2.005750E+00
-34.200E-03,+1.443750E+00,+1.937500E+00,+1.787000E+00
-34.100E-03,+1.256250E+00,+1.687500E+00,+1.537000E+00
-34.000E-03,+1.068750E+00,+1.437500E+00,+1.287000E+00
-33.900E-03,+850.000E-03,+1.187500E+00,+1.099500E+00
-33.800E-03,+693.750E-03,+1.000000E+00,+818.250E-03
-33.700E-03,+600.000E-03,+750.000E-03,+662.000E-03
-33.600E-03,+537.500E-03,+562.500E-03,+505.750E-03
-33.500E-03,+475.000E-03,+468.750E-03,+443.250E-03
-33.400E-03,+506.250E-03,+375.000E-03,+412.000E-03
-33.300E-03,+600.000E-03,+343.750E-03,+380.750E-03
-33.200E-03,+725.000E-03,+406.250E-03,+474.500E-03
-33.100E-03,+912.500E-03,+500.000E-03,+630.750E-03
-33.000E-03,+1.100000E+00,+656.250E-03,+818.250E-03
-32.900E-03,+1.318750E+00,+843.750E-03,+1.068250E+00
-32.800E-03,+1.568750E+00,+1.093750E+00,+1.318250E+00
-32.700E-03,+1.756250E+00,+1.375000E+00,+1.568250E+00
-32.600E-03,+2.006250E+00,+1.687500E+00,+1.880750E+00
-32.500E-03,+2.131250E+00,+1.875000E+00,+2.130750E+00
-32.400E-03,+2.256250E+00,+2.125000E+00,+2.318250E+00
